text,actual,predicted,probability,label
"My ex used to shoot back with ""Do you want me to go with you?"" all the time, no matter what it was. I almost wonder if I blocked out him asking me that about our own wedding. I unloaded a terrible memory of this on my current BF today and he took it like a champ, I just could not stop chasing myself in circles over this and knew if I heard any sort of similar phrase I would lose it. I just needed to throw this out in the open, where others who might understand could 'hear' it.",1,0,0.4493095238095237,FN
"I've been texting Rebecca on and off for the last week, always about my breakup. Bill went through Rebecca's phone last night and saw she was texting me. He lost his mind. He won't speak to her, and said I betrayed him. I tried to explain that he is my best friend and even if I liked Rebecca I would never try anything, ever.",1,0,0.3753333333333333,FN
"Hello all, for the next two years I’ll probably be living in my truck. I am going to college for free (thanks AmeriCorps) but I can’t afford to live in a real home. So I live in my truck. Any tips for keeping it clean and keeping things orderly? It’s so much harder than I thought it would be.",1,0,0.3692261904761905,FN
"Last week while my girlfriend was out of the country I noticed our puppy Luca wasn't acting himself. I took him to the emergency clinic and after some tests they told me he would require immediate surgery or we were at a high risk of losing him. The surgery was costly but necessary, however we are now having difficulty paying our bills. We have reached out to family and friends for support and are now searching for any help we can get. Thank you for taking the time to hear our story.",1,0,0.39388095238095233,FN
"I asked the other day if they've set a date. He laughed in my face and said 'no' as if it were the most ridiculous thing he's ever heard. He comes home late, and showers immediately. Then, he showers every morning before he leaves. He doesn't talk to my mum and I, at all, and he's cagey and secretive about everything, to the point of hostility towards my sister.",1,0,0.44941666666666663,FN
"Do you huddle up in the corner of some obscure building that's out of the way? Under a pine tree that's thick enough to prevent any outsiders knowing you're there? Those are kind of the best ideas I have... but I really don't know and I would greatly appreciate any advice. I don't want to give too many details but I live in a city of just over 100,000 people. I'm already on food and medical assistance.",1,0,0.35833333333333334,FN
"I brought it up to him (assuming this forum would tell me to) and he got very livid at me. Now we’re not speaking (His friend is still at his house). Not sure what to do. TL;DR: bfs friend from out of town is staying with him while I was away. Not sure if they are doing normal friend stuff, or if my bf has a crush.",1,0,0.42949603174603185,FN
"So I texted her a message saying “7:45” , I sent it with the quotations to let her know that she’s late and I’m starving. So F2 responds to me through her phone, by voice message. She gave me a very sassy attitude telling me to “remove the pipe from my ass and eat a snack”. I had already needed to eat a snack since they made me wait a half an hour, I don’t think that her response was warranted for what I said. I get what I said was a little petty but I don’t think I deserved that attitude.",1,0,0.44813095238095235,FN
"It's just us two and it's, really intense. She hugs me, tells me how much she's missed me. Reminisces about our relationship. Tells me how I broke her heart. She tells me about lads she's been with since and it felt like she was comparing them all to me and gets really emotional.",1,0,0.42749999999999994,FN
"My mom is a single mom working two shifts every day and she cannot wrangle a full grown man like my brother anymore. So she lets him do what he wants as long as he can pay a small piece of rent. So he works with friends doing god knows what. He's home around 2pm every day and he will always tear apart the fridge looking for food, microwave some gross stuff, then drop the dirty plates in the sink. He makes SUCH A MESS everywhere he goes it's absolutely disgusting.",1,0,0.39469047619047615,FN
"I was laid off work temporarily and the insurance I was getting stopped over a week ago suddenly. I can't get back to work until next Monday earliest. I sold some stuff online locally a few days ago, got more stuff listed but it's not moving and almost all of what I made online went to fee's when I renewed my license plates. I have literally nothing but a few days more of plain rice left. I figured I may as well give this sub a shot.",1,0,0.4405654761904762,FN
"He is our little angel and we are both gaga for him, but money has been extraordinary tight, adjusting to parent life and sleep deprivation has been tough for both of us. We were fighting and bickering a bit for the first time in his first months of life, but I figured that was normal for new parents. I work in the financial industry for a modest income (working hard currently to get to the next level where I'll make substantially more) and she works for an arts-based nonprofit. I have no particular attachment to the financial industry, it's just been a way to pay the bills and I find it interesting enough. She's a passionate artist though, always knew she wanted to be one, and it's really important to her.",1,0,0.326,FN
"We met about 2.5 years ago, both somewhat fresh off our respective divorces. I felt we had a real connection, we fell for each other hard, dated (eventually lived together) for a little less than a year before she got pregnant. We were both really happy as we had both talked about wanting children - at the time we got pregnant we were ""not NOT trying,"" we had definitely had many conversations and were both on board and happy to have a child together. We felt we had met our true love in each other. Things have been rough since the birth of our son.",1,0,0.2016309523809524,FN
"For instance, there was a show on netflix that I thought would be fun to watch together, but she said she couldn't because she used to watch it with her ex and it reminds her of him. Like, are you even over him? She constantly compares me to her ex's in subtle (maybe not subtle) ways, like ""[ex] used to do this thing you do, and you know how I feel about that."" I'm not your ex, I don't think it's fair of you to compare me to him like that all the time. She says she's ""not used to being single,"" it kind of makes me feel like she's using me to get reassurance and validation.",1,0,0.31821428571428567,FN
"We've funnelled about 4k into saving our dog's life. As you can see- we haven't gotten that in donations, but what we've gotten has really saved our asses. I found out my dog had a 'treatable' disease right after graduating from college. The college debt was already a burden, and after my partner got laid off- the panic set in that we would have to put my best friend down. He's too young for this, and has been too good to us.",1,0,0.24986904761904763,FN
"Now they didn't know about HF autism then but the signs were there. Bullied in school and at home, I just shut down at about age 10. Went to school ,went home , didn't talk to anybody. The schools noticed. Parents were duly notified but nothing was done.",1,0,0.3983452380952381,FN
